name,price
"Cola regular U, 6x33cl ",1.72
"Soda cola zéro U, 6 canettes de 33cl ",1.69
"Boisson gazéifiée saveur cola avec édulcorant 1,5L ",0.7
Boisson gazéfiée saveur cola avec sucre et édulcorant U Pet 2L ,0.86
Boisson gazéifiée saveur cola et cerise avec sucre et édulcorant ,0.91
"COLA zéro sans sucre, 1,5L ",0.6
Boisson gazéifiée saveur cola avec sucre et édulcorant 1L ,0.51
"Boisson gazéifiée saveur cola avec édulcorant, 1L ",0.55
"Cola Transparent édition limitée U, 1l ",0.56
"Boisson gazéifiée saveur cola avec sucre et édulcorant, 1,5L ",0.67
"Boisson gazifiée saveur cola avec sucre et édulcorant, 4x1,5L ",2.34
"PEPSI Max, 1,5l ",1.04
"COCA COLA, 8 mini canettes de 15cl ",3.11
"Cola regular PEPSI, 1,5l ",1.18
"COCA-COLA, bouteille en plastique 6x1,25l ",8.71
"COCA-COLA Zéro, 4x50cl ",2.87
"COCA-COLA light, bouteille en plastique de 1,25L ",1.28
"PEPSI Max, 6 canettes de 33cl ",2.28
"Cola ELSASS, boite aluminium 6 bouteilles de 33cl ",1.72
"COCA-COLA zéro lemon, bouteille en plastique de 1,25l ",1.69
"COCA-COLA zero sans caféine, bouteille de 1,25l ",0.7
"COCA-COLA, bouteille en plastique de 1,75l ",0.86
"COCA COLA zéro, 6x1,25L ",0.91
"COCA-COLA, 4 bouteilles en plastique de 50cl ",0.6
"COCA COLA light, 8x25cl ",0.51
"Boisson rafraîchissante DR PEPPER, bouteille de 1,5l ",0.55
"PEPSI Max cherry, bouteille de 1,5 litre ",0.56
"COCA-COLA, 10 canettes de 33cl ",0.67
"COCA-COLA zéro, 6x33cl ",2.34
"Cola ELSASS, 6 bouteilles de 50cl ",1.04
"COCA COLA zéro, 8 mini canettes de 15cl ",3.11
"DR PEPPER, 6 canettes de 33cl ",1.18
"PEPSI Max, bouteille de 1l ",8.71
"Cola regular PEPSI, bouteille de 1l ",2.87
"COCA-COLA, 6 boîtes de 33cl ",1.28
"PEPSI Cola Regular, 6 canettes de 33cl ",2.28
"COCA-COLA cherry, 6 boites de 33cl ",3.19
"Cola ELSASS, bouteille de 1,25l ",1.15
"COCA COLA vanille, bouteille en plastique de 1,25litre ",
"COCA-COLA Zéro, bouteille en plastique de 1,75l ",1.69
"Cola puma, bouteille de 1,5l ",0.43
"Boisson gazéifiée aux extraits de fruits aromatisée 1,5L ",1.05
"Soda saveur orange U, bouteille de 1 litre ",
"Soda saveur agrumes U, bouteille de 1l ",0.75
"Boisson gazifiée aromatisée agrumes avec édulcorant 1,5L ",0.86
"Boisson gazéifiée citron, citron vert et menthe avec sucre et édulcorant, 1,5L ",0.98
"Soda saveur agrumes, 1,5l ",0.9
"Diabolo menthe U, bouteille en plastique de 1,5L ",1.05
"Boisson gazifiée au jus d'orange à base de concentré avec sucre etédulcorant 1,5L ",0.82
"Boisson gaziéfiée au jus de citron à base de concentré avec sucre etédulcorant 1,5L ",
"SCHWEPPES agrum', bouteille de 1l ",1.39
"SCHWEPPES agrum zéro, bouteille de 1,5l ",1.51
"PULCO fines bulles citron citron vert, 1l ",1.66
"Boisson gazeuse arômatisée jus d'orange et orange sanguine SAN PELLEGRINO, 6x33cl ",3.15
"Agrum SCHWEPPES, bouteille en plastique de 1,5 litre ",3.19
"Orange FANTA, bouteille de 1,5l ",1.15
"FANTA Citron frappé, 1,5L ",
"PULCO fines bulles saveur citron, bouteille de 1l ",1.69
"SCHWEPPES, lemon slim can 6x33cl ",0.43
"SCHWEPPES, agrum zéro slim can 6x33cl ",1.05
"RICQLES menthe, 8x25cl ",
"FANTA Orange, bouteille de 1l ",0.75
"Mojito SCHWEPPES, 6 canettes slim de 33cl ",0.86
"Boisson gazeuse aromat.jus orange ABC SAN PELLEGRINO, ARANCIATA, 6X33cl ",0.98
"SCHWEPPES, agrum slim can 6x33cl ",0.9
"Boisson gazeuse arômatisée au jus de citron SAN PELLEGRINO, 6x33cl ",1.05
"Schweppes lemon zéro, bouteille de 1,5l ",0.82
"Boisson gazeuse aromatisée jus de citron et menthe SAN PELLEGRINO, 6x33cl ",
"SCHWEPPES Lemon, 1,5 litre ",1.39
"SCHWEPPES mojito, bouteille de 1l ",1.51
"FANTA orange, 6x33cl ",1.66
"SCHWEPPES agrum, pack boîtes de 12x15cl ",3.15
"SCHWEPPES agrumes,  4 bouteilles de 50cl ",1.55
"PULCO fines bulles saveur citron menthe, bouteille de 1l ",1.35
"Pulpé orange puma, bouteille de 1,5l ",1.4
"Boisson gazéifiée au jus d'orange pulpé à base de concentré avecédulcorant 1,5L ",1.83
"Orangeade pulpée U, bouteille de 1 litre ",3.18
"Boisson gazéifiée au jus d'orange pulpé à base de concentré avec sucre1,5L ",3.05
"Boisson gazifiée aux jus d'oranges pulpés à base de concentrés avecsucre et édulcorant 1,5L ",5.06
"ORANGINA standard, bouteille de 1l ",1.14
ORANGINA light slim boîte 6x33cl ,3.24
"ORANGINA standard pet 4x1,5 litre ",3.15
"ORANGINA, bouteille en plastique de 1,5l ",3.07
"ORANGINA, 12 canettes de 15cl ",3.15
"ORANGINA standard, slim cannette 6x33cl ",1.47
"ORANGINA light, bouteille de 1l ",3.41
"Boisson gazeuse à l'eau de source pomme et poire, POM'DE LISBETH, bouteille de 1,25l ",1.59
"ORANGINA Rouge orange sanguine, bouteille de 1,5l ",1.48
"ORANGINA, 8 bouteilles de 25cl ",2.4
"ORANGINA, 4 bouteilles de 50cl ",4.61
"Boisson gazeuse à l'eau de source pomme et poire POM'DE LISBETH, 6 bouteilles de 33cl ",3.35
"Orangina light pet 1,5 litre ",1.83
"Cocktail sans alcool mojito LORINA, bouteille en plastique de 1,5l ",0.67
"ORANGINA standard à la pulpe d'orange, bouteille de 2 litres ",0.99
"ORANGINA, 6 bouteilles de 25cl ",0.75
"Limonde zéro sans sucre U, 1,5l ",0.99
"Limonade U BIO, bouteille de 1l ",1.1
"Limonade à l'ancienne Saveurs U, bouteille en verre de 1l ",1.38
"Limonade U, 6 bouteilles de 33cl ",3.09
"Limonade U PET, 4x1,5L ",5.99
"Limonade zéro LORINA, 1,5l ",1.55
"Limonade cristal LORINA, 1,25l ",4.29
"Limonade double zest LORINA, bouteille de 1,5l ",3.07
"Limonande LINESS, bouteille de 1,25l ",1.44
"Limonade artisanale LORINA, bouteille de 1l ",1.23
"Limonade bio ""Recette Authentique"" LORINA, 1,25l ",1.73
"Limonade LINESS, 6x33cl ",4.11
"Limonade MIXMI, bouteille en verre de 1l ",3.07
"Limonade puma, bouteille de 1,5 litre ",0.37
"Tonic zero U PET, 1,50L ",0.73
"Tonic U PET, 1,50L ",0.75
"Tonic U, 6 bouteille de 33cl ",2.29
"SCHWEPPES, Indian Tonic slim can 6x33cl ",3.24
"SCHWEPPES, Indian tonic zéro slim can 6x33cl ",3.27
"Indian Tonic SCHWEPPES, 8x25cl ",4.58
"SCHWEPPES indian tonic, 4 bouteilles de 50cl ",3.51
"GINI Lemon, 6 canettes de 33cl ",3.1
"CANADA DRY Ginger Ale, 6x33cl ",3.3
"SCHWEPPES Indian Tonic, bouteille de 1,5l ",1.58
"SCHWEPPES Indian Tonic zero, 1,5l ",1.54
"GINI, bouteille de 1,5l ",
"CANADA DRY, bouteille de 1,5l ",1.6
"SCHWEPPES Indian Tonic, 12 boîtes de 15cl ",4.54
"Boisson gazéifiée à l'extrait de citron et de citron vert avec sucreet édulcorant 1,5L ",0.77
"Soda saveur mojito U, 6 canettes de 33cl ",2.29
"SEVEN UP, boîte de 6x33cl ",2.15
"Boisson rafraîchissante au thé vert RIVELLA Vert, bouteille en plastique de 1l ",0.37
"SEVEN UP mojito free, bouteille de 1,5l ",0.73
"Limonade RIVELLA Original, 6 bouteilles de 50cl ",0.75
