name,price
"Spaghetti qualité supérieure U, sachet cello de 1kg ",0.79
"Coquillette cuisson rapide U, sachet de 500g ",0.57
"Pates torsade qualité supérieure U, paquet de 1kg ",0.94
"Pâtes Italiennes linguinei n°9 U, paquet de 500g ",1.38
"Coudes rayés qualité supérieure U, paquet cello de 500g ",0.74
"Pâtes italiennes cavatappi n°10 U, paquet de 500g ",1.38
"Torsade qualité supérieure U, paquet cello de 500g ",0.55
"Macaroni qualité supérieure U, paquet cello de 500g ",0.48
"Torsade cuisson rapide U, sachet de 500g ",
"Pâtes italiennes torciglioni n°1 U, 500g ",1.38
"Coquillette qualité supérieure U, paquet cello de 500g ",0.48
"Spaghetti qualité supérieure U, paquet cello de 500g ",0.48
"Coquillettes qualité supérieure U, sachet de 1kg ",0.85
"Spaghettoni n°7 BARILLA, 500g ",0.88
"Fusilli 8 minutes academia BARILLA, 500g ",2.04
"Torsades BARILLA, étui de 500g ",0.9
"Spaghetti PANZANI, paquet de 500g ",0.8
"Spaghetti n°5 BARILLA, 1kg ",1.43
Macaroni qualité supérieure BARILLA étui 500g ,0.79
"Spaghetti n°5 qualité supérieure BARILLA, étui de 500g ",0.57
"Coquillettes BARILLA, étui de 500g ",0.94
"Spaghetti 11 minutes academia BARILLA, 500g ",1.38
"Fettuccine aux oeufs BARILLA, 300g ",0.74
"Fusilli bucati corti collezione 10 minutes BARILLA, 500g ",1.38
"Coquillettes BARILLA, 1kg ",0.55
"Gansettes PANZANI, 500g ",0.48
"Spaghettini n°3 BARILLA, 500g ",
"Tagliatelles n°16 BARILLA,boîte de 500g ",1.38
"Spaghetti n°12 DE CECCO, paquet de 500g ",0.48
"Fusilli PANZANI, 500g ",0.48
"Spaghetti n°5 sans gluten BARILLA, boite de 400g ",0.85
"Torti PANZANI, paquet de 500g ",0.88
"Lasagnette aux oeufs BARILLA, 300g ",2.04
"Pâtes mafaldine napoletane 9 minutes BARILLA, paquet de 500g ",0.9
"Pipe rigate BARILLA, boîte de 500g ",0.8
"Spaghetti cuisson rapide U, sachet de 500g ",1.43
"Nouilles qualité supérieure cello U, 500g ",0.97
