name,price
"Pâtes italiennes torciglioni n°1 U, 500g ",1.45
"Coudes rayés qualité supérieure U, sachet de 1kg ",1.25
"Coquillette cuisson rapide U, sachet de 500g ",0.55
"Pates torsade qualité supérieure U, paquet de 1kg ",0.85
"Pâtes italiennes lumache medie n°16 U, 500g ",1.45
"Spaghetti qualité supérieure U, sachet cello de 1kg ",0.79
"Coudes rayés qualité supérieure U, paquet cello de 500g ",0.79
"Macaroni qualité supérieure U, sachet de 1kg ",0.78
"Torsade cuisson rapide U, sachet de 500g ",0.47
"Macaroni qualité supérieure U, paquet cello de 500g ",0.39
"Pâtes italiennes fusilli n°6 U, paquet de 500g ",1.45
"Pâtes italiennes cavatappi n°10 U, paquet de 500g ",1.45
"Torsade qualité supérieure U, paquet cello de 500g ",0.47
"Pâtes Italiennes linguinei n°9 U, paquet de 500g ",1.45
"Mini noeud papillon U, paquet de 1kg ",
"Coquillette qualité supérieure U, paquet cello de 500g ",0.39
"Spaghetti qualité supérieure U, paquet cello de 500g ",0.39
"Coquillettes qualité supérieure U, sachet de 1kg ",0.79
"Gansettes PANZANI, 500g ",1.45
"Spaghettini n°3 BARILLA, 500g ",1.25
"Macaroni PANZANI, paquet de 500g ",0.55
"Pâtes Fusilli n°48 RUMMO, sachet de 500g ",0.85
"Coquillettes PANZANI, 500g ",1.45
"Spaghettoni n°7 BARILLA, 500g ",0.79
"Tagliatelles n°16 BARILLA,boîte de 500g ",0.79
"Fusilli PANZANI, 500g ",0.78
"Spaghetti n°12 DE CECCO, paquet de 500g ",0.47
"Pâtes coudes rayés cuisson rapide PANZANI, 500g ",0.39
"Spaghetti PANZANI, paquet de 500g ",1.45
"Spaghetti n°5 BARILLA, 1kg ",1.45
"Coudes rayés PANZANI,paquet de 500g ",0.47
Macaroni qualité supérieure BARILLA étui 500g ,1.45
"Torsades BARILLA, étui de 500g ",
"Coquillettes BARILLA, étui de 500g ",0.39
"Coquillettes BARILLA, 1kg ",0.39
"Fettuccine aux oeufs BARILLA, 300g ",0.79
"Spaghetti 11 minutes academia BARILLA, 500g ",
"Spaghetti n°5 qualité supérieure BARILLA, étui de 500g ",1.0
"Penne rigate n°66 RUMMO, sachet de 500g ",0.73
"Torti PANZANI, paquet de 500g ",1.7
"Lasagnette aux oeufs BARILLA, 300g ",0.73
"Spaghetti n°5 sans gluten BARILLA, boite de 400g ",0.78
"Gansettes qualité pâtes fraîches PANZANI, paquet de 400g ",
"Fusilli 8 minutes academia BARILLA, 500g ",1.01
"Spaghetti n°5 grossi RUMMO, sachet de 500g ",1.57
"Pâtes mafaldine napoletane 9 minutes BARILLA, paquet de 500g ",
"Spaghettis plats PANZANI, paquet de 500g ",0.73
"Nouilles fines PANZANI, paquet cello de 500g ",
"Pipe rigate BARILLA, boîte de 500g ",0.88
"Pâtes créatives pipe rigate PANZANI, sachet de 500g ",0.89
"Spaghetti bianchi, sachet de 1kg ",0.8
"Coquillettes bianchi, sachet de 1 kg ",
"Macaroni bianchi, sachet de 1kg ",
"Spaghetti cuisson rapide U, sachet de 500g ",2.3
"Spaghetti cuisson rapide U, 1kg ",
"Farfalles cuisson rapide U, 500g ",0.77
"Spaghettis LUSCTUCRU, 500g ",1.7
"Coquillettes cuisson rapide PANZANI, 500g ",0.7
"Torti légumes cuisson rapide PANZANI, paquet de 500g ",2.3
"Spaghetti cuisson 3mn PANZANI, 1kg ",1.65
"Spaghetti 3 minuti al dente BARILLA, paquet de 500g ",
"Pâtes spaghetti cuisson rapide PANZANI, 500g ",1.81
"Pâtes farfalle cuisson rapide PANZANI, 500g ",1.7
"Torti cuisson rapide les 3 minutes PANZANI, 1kg ",
"Pâtes macaroni cuisson rapide PANZANI, 500g ",
"Torti cuisson rapide PANZANI, 500g ",
"Pâtes spaghetti plat cuisson rapide 3 minutes PANZANI, 500g ",0.82
"Mini pipe rigate Piccolini BARILLA, 500g ",
"Mini farfalle piccolini BARILLA, paquet de 500g ",0.64
"Mini penne rigate piccolini BARILLA, paquet de 500g ",0.66
"Farfalle qualité supérieure U, sachet de 1kg ",0.66
"Penne Rigate qualité supérieure U, sachet de 1kg ",
"Pates Lumaconi nature U SAVEURS, sachet de 500g ",
"Pâtes gigli nature U SAVEURS, sachet de 500g ",
"Farfalle qualité supérieure cello U, 500g ",1.22
"Pâtes Italiennes penne lisce n°48 U, 500g ",0.98
"Penne qualité supérieure cello U, 500g ",
"Capellini qualité supérieure U, sachet de 500g ",1.98
"Pates trottole U SAVEURS, sachet de 500g ",
"Tagliatelles Nids qualité supérieure U, sachet de 500g ",0.96
Capellini Numéro 1 BARILLA étui 500g ,
"Fusilli BARILLA, étui de 500g ",1.93
"Farfalline BARILLA, 500g ",
"Pâtes fantaisie Capellini PANZANI, sachet de 500g ",0.96
"Farfalle n°85 RUMMO, sachet de 500g ",1.35
"Fettuccine qualité pâte fraîche PANZANI, sachet 400g ",
"Penne rigate BARILLA, 1kg ",
"Orecchiette La Collezione BARILLA, 500g ",
"Torsades BARILLA, 1kg ",0.9
Farfalle BARILLA étui 1Kg ,0.97
Pâtes la farfalla GRANO ARMANDO 500g ,1.5
"Pâtes créatives tortiglioni PANZANI, sachet de 500g ",1.5
"Pâtes penne rigate cuisson rapide PANZANI, sachet de 500g ",0.64
"Linguine 8 minutes academia BARILLA, 500g ",1.45
"Pâtes créatives gemelli PANZANI, sachet de 500g ",0.5
"Collerette qualité pâte fraîche PANZANI, sachet de 400g ",
"Pâtes serpentini cuisson rapide PANZANI, paquet de 500g ",1.5
"Tagliatelle qualité pâte fraîche PANZANI, sachet de 400g ",0.99
"Crozets nature ALIPNA SAVOIE, 400g ",0.8
"Penne Rigate BARILLA, paquet de 500g ",0.84
"Pâtes créatives linguine PANZANI, sachet de 500g ",
"Casarecce n°88 RUMMO, sachet de 500g ",0.76
"Pâtes créatives vésuvio PANZANI, sachet de 500g ",1.7
"Penne rigate sans gluten BARILLA, boite de 400g ",1.42
"Farfalle n°93 DE CECCO, 500g ",
"Linguine n°7 DE CECCO, paquet de 500g ",
"Pâtes linguine n°13 RUMMO, sachet de 500g ",
"Coquillages PANZANI, 500g ",
"Pâtes Tofarelle academia BARILLA, 500g ",1.9
