name,price
"Pâtes italiennes lumache medie n°16 U, 500g ",1.29
"Pates torsade qualité supérieure U, paquet de 1kg ",0.85
"Coquillette cuisson rapide U, sachet de 500g ",0.48
"Spaghetti qualité supérieure U, sachet cello de 1kg ",0.76
"Macaroni qualité supérieure U, sachet de 1kg ",0.78
"Coudes rayés qualité supérieure U, paquet cello de 500g ",0.79
"Pâtes italiennes cavatappi n°10 U, paquet de 500g ",1.35
"Macaroni qualité supérieure U, paquet cello de 500g ",0.39
"Torsade qualité supérieure U, paquet cello de 500g ",0.46
"Pâtes italiennes fusilli n°6 U, paquet de 500g ",1.35
"Torsade cuisson rapide U, sachet de 500g ",
"Pâtes italiennes torciglioni n°1 U, 500g ",1.35
"Coudes rayés qualité supérieure U, sachet de 1kg ",1.25
"Pâtes Italiennes linguinei n°9 U, paquet de 500g ",1.35
"Mini tortillon qualité supérieure U, paquet cello de 1kg ",
"Nouilles qualité supérieure cello U, paquet de 1kg ",
"Coquillettes qualité supérieure U, sachet de 1kg ",0.76
"Spaghetti qualité supérieure U, paquet cello de 500g ",0.39
"Coquillette qualité supérieure U, paquet cello de 500g ",0.39
"Spaghetti n°5 sans gluten BARILLA, boite de 400g ",1.79
"Torti PANZANI, paquet de 500g ",0.74
"Spaghettoni n°7 BARILLA, 500g ",0.76
"Torsades BARILLA, étui de 500g ",0.79
Macaroni qualité supérieure BARILLA étui 500g ,0.85
"Spaghetti PANZANI, paquet de 500g ",0.74
"Spaghetti n°5 BARILLA, 1kg ",
"Coudes rayés PANZANI,paquet de 500g ",0.89
"Penne rigate n°66 RUMMO, sachet de 500g ",1.12
"Coquillettes BARILLA, 1kg ",
"Spaghetti n°5 qualité supérieure BARILLA, étui de 500g ",0.8
"Spaghetti 11 minutes academia BARILLA, 500g ",
"Coquillettes BARILLA, étui de 500g ",
"Coquillettes PANZANI, 500g ",0.73
"Macaroni PANZANI, paquet de 500g ",0.74
"Spaghettini n°3 BARILLA, 500g ",0.98
"Gansettes PANZANI, 500g ",
"Pâtes Fusilli n°48 RUMMO, sachet de 500g ",0.39
"Tagliatelles n°16 BARILLA,boîte de 500g ",1.79
"Fusilli PANZANI, 500g ",0.74
"Pâtes coudes rayés cuisson rapide PANZANI, 500g ",0.76
"Spaghetti n°5 grossi RUMMO, sachet de 500g ",0.79
"Gansettes qualité pâtes fraîches PANZANI, paquet de 400g ",0.85
"Fusilli 8 minutes academia BARILLA, 500g ",0.74
"Spaghettis plats PANZANI, paquet de 500g ",
"Nouilles fines PANZANI, paquet cello de 500g ",0.89
"Pipe rigate BARILLA, boîte de 500g ",1.12
"Pâtes créatives pipe rigate PANZANI, sachet de 500g ",
"Pâtes mafaldine napoletane 9 minutes BARILLA, paquet de 500g ",0.8
"Spaghetti bianchi, sachet de 1kg ",
"Macaroni bianchi, sachet de 1kg ",
"Coquillettes bianchi, sachet de 1 kg ",0.73
"Farfalles cuisson rapide U, 500g ",0.74
"Coquillette cuisson rapide U, sachet de  1kg ",0.98
"Torsades cuisson rapide U, sachet  de 1kg ",
"Farfalles cuisson rapide U, 1kg ",1.12
"Spaghetti cuisson rapide U, sachet de 500g ",
"Spaghetti cuisson rapide U, 1kg ",1.02
"Nouilles qualité supérieure cello U, 500g ",
"Spaghetti 3 minuti al dente BARILLA, paquet de 500g ",1.12
"Pâtes farfalle cuisson rapide PANZANI, 500g ",
"Pâtes spaghetti cuisson rapide PANZANI, 500g ",1.96
"Coquillettes 3 minuti al dente BARILLA, paquet de 500g ",
"Pâtes macaroni cuisson rapide PANZANI, 500g ",
"Spaghetti cuisson 3mn PANZANI, 1kg ",0.8
"Torti légumes cuisson rapide PANZANI, paquet de 500g ",
"Coquillettes cuisson rapide PANZANI, 500g ",
"Macaroni cuisson rapide les 3 minutes, PANZANI, 1kg ",0.64
"Torti cuisson rapide PANZANI, 500g ",0.66
"Coquillettes cuisson 3mn PANZANI, 1kg ",0.66
"Mini farfalle piccolini BARILLA, paquet de 500g ",
"Mini pipe rigate Piccolini BARILLA, 500g ",0.96
"Mini penne rigate piccolini BARILLA, paquet de 500g ",
"Pâtes gigli nature U SAVEURS, sachet de 500g ",
"Farfalle qualité supérieure cello U, 500g ",
"Pâtes Italiennes penne lisce n°48 U, 500g ",
"Penne qualité supérieure cello U, 500g ",
"Penne Rigate qualité supérieure U, sachet de 1kg ",
"Farfalle qualité supérieure U, sachet de 1kg ",
"Pates Lumaconi nature U SAVEURS, sachet de 500g ",0.98
"Capellini qualité supérieure U, sachet de 500g ",
"Tagliatelles Nids qualité supérieure U, sachet de 500g ",
"Pates trottole U SAVEURS, sachet de 500g ",1.8
"Pâtes linguine n°13 RUMMO, sachet de 500g ",
"Pâtes tagliatelle cuisson rapide PANZANI, paquet de 500g ",0.96
Pâtes la farfalla GRANO ARMANDO 500g ,
"Pâtes créatives tortiglioni PANZANI, sachet de 500g ",0.96
"Torsades BARILLA, 1kg ",1.71
Farfalle BARILLA étui 1Kg ,
"Orecchiette La Collezione BARILLA, 500g ",
"Tagliatelle qualité pâte fraîche PANZANI, sachet de 400g ",
"Penne rigate 3 minuti al dente BARILLA, paquet de 500g ",2.05
"Pâtes fantaisie Farfalle PANZANI, sachet de 500g ",0.62
"Crozets nature ALIPNA SAVOIE, 400g ",1.35
"Penne Rigate BARILLA, paquet de 500g ",0.62
"Pâtes créatives linguine PANZANI, sachet de 500g ",1.46
"Pâtes fantaisies Penne Rigate PANZANI, sachet de 500g ",0.9
"Penne rigate sans gluten BARILLA, boite de 400g ",2.05
"Casarecce n°88 RUMMO, sachet de 500g ",
"Farfalline BARILLA, 500g ",0.99
"Farfalle n°85 RUMMO, sachet de 500g ",1.99
"Fusilli BARILLA, étui de 500g ",1.12
"Fettuccine qualité pâte fraîche PANZANI, sachet 400g ",
"Penne rigate BARILLA, 1kg ",1.25
Capellini Numéro 1 BARILLA étui 500g ,
"Pâtes fantaisie Capellini PANZANI, sachet de 500g ",
"Linguine 8 minutes academia BARILLA, 500g ",
"Pâtes serpentini cuisson rapide PANZANI, paquet de 500g ",
"Pâtes casarecce La Collezione 9 minutes BARRILA, 500g ",1.39
"Penne rigate 3 minuti al dente BARILLA, paquet de 500g ",
"Pâtes fantaisie Farfalle PANZANI, sachet de 500g ",
"Crozets nature ALIPNA SAVOIE, 400g ",2.39
"Penne Rigate BARILLA, paquet de 500g ",0.78
"Pâtes créatives linguine PANZANI, sachet de 500g ",
"Pâtes fantaisies Penne Rigate PANZANI, sachet de 500g ",0.76
"Penne rigate sans gluten BARILLA, boite de 400g ",1.81
"Casarecce n°88 RUMMO, sachet de 500g ",1.12
"Farfalline BARILLA, 500g ",
"Farfalle n°85 RUMMO, sachet de 500g ",
"Fusilli BARILLA, étui de 500g ",0.93
"Fettuccine qualité pâte fraîche PANZANI, sachet 400g ",1.39
"Penne rigate BARILLA, 1kg ",
Capellini Numéro 1 BARILLA étui 500g ,0.78
"Pâtes fantaisie Capellini PANZANI, sachet de 500g ",0.79
"Linguine 8 minutes academia BARILLA, 500g ",
"Pâtes serpentini cuisson rapide PANZANI, paquet de 500g ",
"Pâtes casarecce La Collezione 9 minutes BARRILA, 500g ",
"Coquillages PANZANI, 500g ",
"Pâtes Tofarelle academia BARILLA, 500g ",
"Linguine La Collezione BARILLA, 500g ",0.91
"Crozets au sarrasin ALPINA SAVOIE, boîte de 400g ",2.65
"Trofie BARILLA, 500g ",
"Tagliatelles Fantaisie PANZANI, paquet de 500g ",1.23
"Farfalle qualité pâte fraîche PANZANI, sachet 400g ",
"Pâtes fantaisies Serpentini PANZANI, sachet de 500g ",0.76
Farfalle qualité supérieure BARILLA paquet 500g ,
"Pâtes aux oeufs macaroni IGP d'Alsace U, sachet de 250g ",1.05
"Petits nids IGP d'Alsace aux oeufs U, sachet de 250g ",1.05
"Tagliatelles IGP d'Alsace aux oeufs U, sachet de 250g ",1.05
"Spaghetti aux oeufs IGP d'Alsace U, sachet de 250g ",1.05
"Papillons aux oeufs IGP d'Alsace U, sachet de 250g ",1.05
"Torsades IGP d'Alsace aux oeufs U, sachet de 250g ",0.99
"Penne aux oeufs rigate IGP d'Alsace U, sachet de 250g ",1.19
"Coquillettes IGP d'Alsace aux oeufs U, sachet de 250g ",1.0
"Macaronis aux oeufs LUSTUCRU, 250g ",0.87
"Petits coudes aux oeufs GRAND'MERE, sachet de 250g ",
"Macaroni coupés IGP GRAND'MERE, sachet de 250g ",
"Penne IGP VALFLEURI, paquet de 250g ",0.91
"Papillons GRAND'MERE, sachet de 250g ",2.65
"Coquillettes cuisson rapide 3 minutes GRAND'MERE, sachet de 250g ",
"Torsades aux oeufs frais comme à la maison LUSTUCRU, paquet de 400g ",1.23
"Lasagnette IGP pâtes d'Alsace VALFLEURI, paquet de 250g ",
"Coquillettes aux  ufs LUSTUCRU, 500g ",0.76
"Torsades BIO sans gluten GRAND'MERE, sachet de 250g ",
"Coquillette d'Alsace aux oeufs IGP VALFLEURI, paquet de 250g ",1.05
"Torsades GRAND'MERE, sachet de 250g ",1.05
"Pâtes linguine 7 oeufs frais GRAND'MERE, paquet de 500g ",1.05
"Spaghetti d'Alsace aux oeufs GRAND'MERE, paquet de 250g ",1.05
"Lasagnettes IGP GRAND'MERE, paquet de 250g ",1.05
"Spaghetti BIO sans gluten GRAND'MERE, sachet de 250g ",0.99
"Ondines VALFLEURI, 500g ",1.19
"Macaronis longs aux oeufs GRAND'MERE, sachet de 250g ",1.0
"Spaghetti courts aux oeufs frais LUSTUCRU, 500g ",0.87
"Pâtes d'Alsace Nids n°4 IGP GRAND'MERE, sachet de 500g ",
"Toupies pâtes d'Alsace IGP VALFLEURI, paquet de 500g ",0.99
"Coquillettes d'Alsace aux oeufs GRAND'MERE, sachet de 250g ",1.2
"Pappardelles IGP GRAND'MERE, sachet de 500g ",1.09
