name,price
"Salade Chinoise mélange de légumes variés en saumure U, 190g ",1.79
"Champignons noirs déshydratés U, paquet de 50g ",2.19
"Vermicelles de riz U, 250g ",1.69
"Nouilles cuisinées cup aux fruits de mer U, paquet de 70g ",1.39
"Sauce nuoc mam U, 150ml ",0.82
"Litchis au sirop léger U, boîte de 250g ",2.25
"Nouilles cuisinées cup saveur poulet U, 70g ",1.39
"Purée de piment U, 95g ",0.94
"Nouilles cuisinées cup légumes U, boîte de 70g ",1.39
"Galettes de riz U, 100g ",1.59
"Mini épis de maïs U, 190g ",1.79
"Sauce soja sucrée U, 150ml ",1.03
"Sauce soja U, 150ml ",0.94
"Nouilles cuisinées cup saveur boeuf U, 70g ",1.39
"Sauce nems U, 150ml ",0.79
"Nouilles cup cuisinées saveur curry U, 70g ",1.39
"Lait de coco U, 200ml ",0.79
"Vermicelles asiatiques U, 80g ",1.15
"Nouilles en nids U, sachet de 250g ",1.09
"Chips aux crevettes saveur curry thaï U, sachet de 50g ",0.7
"Chips aux crevettes saveur sweet chili U, sachet de 50g ",0.7
"Chips à la crevette U, 50g ",0.56
"Pousses de haricots mungo Asie U, bocal de 37cl ",
"Nouilles sautées classiques NISSIN,  soba cup de 90g ",2.42
"Sauce soja sucrée SUZI WAN, 300ml ",2.69
"Algues nori pour sushi OISHIYA, 10 feuilles soit 28g ",2.43
"Soupe de nouilles arôme boeuf YUM YUM, sachet de 60g ",0.39
"Sauce soja SUZI WAN, 300ml ",2.45
"Soupe de nouilles arôme curry vert YUM YUM, sachet de 60g ",
"Nouilles japonaises crevettes hamayaki NISSIN, 63g ",1.75
"Crème de coco SUZI WAN, brique de 200ml ",1.12
"Pois vert au wasabi OISHIYA, 140g ",2.69
"Chips d'algues original BIBIGO, sachet de 20g ",
"Sauce aigre douce SUZI WAN, 330g ",1.82
"Nouilles ramen soja caramel, KOREAN FOOD STYLE, sachet de 170g ",1.7
"Lait de coco light KARA, brique de 200ml ",
"Bière blonde KRONENBOURG, 4,2°, 26x25cl ",10.6
"COCA-COLA, bouteille en plastique 6x1,25l ",8.58
"Steaks hachés pur boeuf U, boîte de 10 unités de 100g ",6.1
"Fraise, catégorie 1, France, barquette 500g 1 kg",4.99
"Eau de source CRISTALINE, 6 bouteilles de 1,5l ",1.02
"Eau minérale naturelle gazeuse SAN PELLEGRINO, 6 bouteilles en plastique de 1l ",3.38
"Bière blonde KRONENBOURG, 4,2°, 26x25cl ",10.6
"COCA-COLA, bouteille en plastique 6x1,25l ",8.58
"Steaks hachés pur boeuf U, boîte de 10 unités de 100g ",6.1
"Fraise, catégorie 1, France, barquette 500g 1 kg",4.99
"Nouilles en nids U, sachet de 250g ",1.09
"Chips aux crevettes saveur curry thaï U, sachet de 50g ",0.7
"Chips aux crevettes saveur sweet chili U, sachet de 50g ",0.7
"Chips à la crevette U, 50g ",0.56
"Pousses de haricots mungo Asie U, bocal de 37cl ",
"Nouilles sautées classiques NISSIN,  soba cup de 90g ",2.42
"Sauce soja sucrée SUZI WAN, 300ml ",2.69
"Algues nori pour sushi OISHIYA, 10 feuilles soit 28g ",2.43
"Soupe de nouilles arôme boeuf YUM YUM, sachet de 60g ",0.39
"Sauce soja SUZI WAN, 300ml ",2.45
"Soupe de nouilles arôme curry vert YUM YUM, sachet de 60g ",
"Nouilles japonaises crevettes hamayaki NISSIN, 63g ",1.75
"Crème de coco SUZI WAN, brique de 200ml ",1.12
"Pois vert au wasabi OISHIYA, 140g ",2.69
"Chips d'algues original BIBIGO, sachet de 20g ",
"Sauce aigre douce SUZI WAN, 330g ",1.82
"Nouilles ramen soja caramel, KOREAN FOOD STYLE, sachet de 170g ",1.7
"Lait de coco light KARA, brique de 200ml ",
"Nouilles japonaises curry maroyaka NISSIN, 67g ",
"Sauce aigre douce MONT ASIE, 330g ",1.68
"Lait de coco SUZI WAN, brique de 500ml ",2.6
"Sauce pour nems SUZI WAN, 300ml ",2.49
"Soupe nouilles poulet grillé YUMYUM, 70G ",0.5
"Nouilles Japonaises saveur poulet ""Teriyaki"" NISSIN, cup de 67g ",
"Gingembre pour sushi OISHIYA, 110g ",2.22
"Pâte de curry doux PATAK'S, 165g ",2.55
"Nouilles ramen boeuf, KOREAN FOOD STYLE, sachet de 170g ",1.7
"Nouilles udon cup boeuf KOREAN FOOD STYLE, 173g ",2.25
"Nouilles pour wok YUM YUM, paquet de 250g ",1.15
"Sauce soja sucrée KIKKOMAN, flacon de 150ml ",3.99
"Nouilles yakitori poulet, NISSIN,  soba cup de 89g ",2.59
"Sauce soja à teneur réduite en sel KIKKOMAN, carafe de 150ml ",3.91
"Lait de coco SUZI WAN, brique de 200ml ",1.15
"Nougat mou vietnamien ONG XEN, 250g ",2.25
"Riz parfumé THAI EXPERT, 1kg ",2.5
"Sauce de piments pour volailles MONT ASIE, flacon de 330g ",1.99
"Bière blonde KRONENBOURG, 4,2°, 26x25cl ",10.6
"COCA-COLA, bouteille en plastique 6x1,25l ",8.58
"Steaks hachés pur boeuf U, boîte de 10 unités de 100g ",6.1
"Fraise, catégorie 1, France, barquette 500g 1 kg",4.99
"Eau de source CRISTALINE, 6 bouteilles de 1,5l ",1.02
"Eau minérale naturelle gazeuse SAN PELLEGRINO, 6 bouteilles en plastique de 1l ",3.38
"Bière blonde KRONENBOURG, 4,2°, 26x25cl ",10.6
"COCA-COLA, bouteille en plastique 6x1,25l ",8.58
"Steaks hachés pur boeuf U, boîte de 10 unités de 100g ",6.1
"Fraise, catégorie 1, France, barquette 500g 1 kg",4.99
"Riz pour sushi Oishii Yamato OISHIYA, 1kg ",
"Pâte de wasabi OISHIYA, tube de 43g ",1.68
"Légumes Chop Suey SUZI WAN, 195g ",2.6
"Vermicelles de haricots mungo SUZI-WAN, paquet de 100g ",2.49
"Nouilles soba teriyaki NISSIN, sachet de 110g ",0.5
"Soupe instantanée miso tofu algues wakame HIKARI MISO, 58g ",
"Pousses de bambou SUZI WAN, bocal de 100g ",2.22
"Crème de coco têtra KARA, pack de 400ml ",2.55
"Sauce pour nems SUZI WAN, flacon de 125ml ",1.7
"Vinaigre de riz OISHIYA, 150ml ",2.25
"Kit sushi et maki pour 4 personnes OISHIYA, 380g ",1.15
"Nouilles sautées teriaki NISSIN,  soba cup de 90g ",3.99
"Mélange de noix de cajou et pois vert saveur aigre doux THAÏ EXPERT, 140g ",2.59
"Lait de noix de coco KARA, brique de 500ml ",3.91
"Vermicelles de riz Mie Hoen SUZI WAN, 250g ",1.15
"Chips aux crevettes SUZI WAN, 50g ",2.25
"Soupe instantanée miso tofu oignons naganegi HIKARI MISO, 58g ",2.5
"Soupe de nouilles arôme curry YUM YUM, sachet de 60g ",1.99
"Steaks hachés pur boeuf U, boîte de 10 unités de 100g ",
"Fraise, catégorie 1, France, barquette 500g 1 kg",1.93
"Eau de source CRISTALINE, 6 bouteilles de 1,5l ",1.49
"Eau minérale naturelle gazeuse SAN PELLEGRINO, 6 bouteilles en plastique de 1l ",1.5
"Bière blonde KRONENBOURG, 4,2°, 26x25cl ",1.55
"COCA-COLA, bouteille en plastique 6x1,25l ",2.99
"Lait de coco KARA, 200ml ",
"Lait de coco THAÏ EXPERT, 200ml ",1.93
"Gingembre confit MONT ASIE, sachet de 100g ",1.49
"Nouilles Japonaises saveur boeuf ""Sukiyaki"" NISSIN, cup de 67g ",1.5
"Nouilles chinoises MONT ASIE, sachet de 250g ",1.55
"Sauce d'huîtres MONT ASIE, 330g ",2.99
"Huile de sésame MONT ASIE, 150ml ",2.25
"Crème de noix de coco Indonésie KARA, brique de 200ml ",2.88
"Sauce soja KIKKOMAN, bouteille de 150ml ",1.08
"Chips d'algues saveur barbecue BIBIGO, sachet de 20g ",1.64
"Sauce de soja MONT ASIE, 500ml ",
"Sauce de piment sriracha MONT ASIE, 180ml ",2.39
"Nouilles en nid SUZI WAN, sachet de 250g ",
"Soupe pho cup boeuf ACECOOK, 56g ",3.1
"Sauce Soja sucrée SUZI WAN, flacon de 125ml ",
"Nouilles soba classique NISSIN, sachet de 109g ",1.07
"Nouilles sukiyaki boeuf NISSIN, soba cup de 90g ",2.98
"Sauce nuoc mam SUZI-WAN, flacon de 125ml ",0.44
"Sauce aux légumes pour préparation aigre douce SUZI WAN, 400g ",1.21
"Sauce soja MONT ASIE, 150ml ",1.1
"Soupe pho cup poulet ACECOOK, 56g ",2.35
"Sauce soja salé KIKKOMAN, carafe de 150ml ",
"Lait de coco light SUZI WAN, brique de 200ml ",1.35
"Crème de coco SUZI WAN, 500ml ",1.63
"Cacahuètes au wasabi OISHIYA, boîte de 100g ",
"Soupe de nouilles arôme légumes YUM YUM, sachet de 60g ",1.63
"Soupe de nouilles arôme canard YUM YUM, sachet de 60g ",2.89
"Nouilles aux oeufs SUZI WAN, paquet de 250g ",
"Lait de coco THAÏ EXPERT, boîte de 400ml ",
"Pâte de curry rouge THAÏ EXPERT, 110g ",1.48
"Nouilles udon cup poulet KOREAN FOOD STYLE, 173g ",1.3
"Sauce Yakitoti ""Cuisine au Wok "" KIKKOMAN, flacon de 250ml ",
"Nouilles sautées canard NISSIN,  soba cup de 87g ",1.01
"Sauce soja sucrée KIKKOMAN, 250ml ",1.55
"Pâte de curry vert THAÏ EXPERT, 110g ",2.59
"Sauce soja allégée en sel SUZI WAN, flacon de 125ml ",1.16
"Burrito kit U, 510g ",
"Wraps souples U, paquet de 370g ",0.93
"Tortillas chips goût salé U, sachet de 300g ",
"Sauce chaude pour Fajitas U, 430g ",3.61
"Guacamole U, 300g ",1.65
"Tortillas chips chili U, 300g ",2.94
"Sauce salsa forte U, bocal de 315g ",3.25
"Tortillas souples de maïs U, 8 paquets soit 320g ",0.45
"Salsa sauce médium U, 315g ",0.44
"Fajita Kit U, 505g ",
"Tortillas souples blé U, 8 paquets soit 320g ",1.75
"Mélanges épices pour guacamole U, sachet de 20g ",1.35
"Wraps au blé complet MISSION, 370g ",2.25
"Tortillas sans gluten OLD EL PASO, 216g ",4.2
"Kit barquitas OLD EL PASO, paquet de 345g ",2.59
"Kit burrito sans piment OLD EL PASO, 491g ",4.29
"Sauce à cuisiner pour fajitas sans piment OLD EL PASO, 395g ",1.36
"Sauce Salsa dip douce OLD EL PASO, bocal de 312g ",
"Kit pour fajitas tomates et poivrons OLD EL PASO, 500g ",3.22
"Sauce Fajita OLD EL PASO, bocal de 395g ",2.19
"Kit pour crousti fajitas sans piment OLD EL PASO, paquet de 521g ",2.29
"Tortillas de blé OLD EL PASO, 8 unités soit 326g ",2.21
"Sauce guacamole OLD EL PASO, bocal de 320g ",1.48
"Mélange d'epices pour fajitas mix OLD EL PASO, sachet de 30g ",2.09
"Sauce salsa thick chunky OLD EL PASO, 226g ",1.25
"Barquitas de blé nature OLD EL PASO, sachet de 193g ",1.84
"Mini barquitas de blé nature OLD EL PASO, boîte de 145g ",1.22
"Wraps multigrains graines de lin MISSION, 370g ",3.79
"Wraps au blé nature MISSION, 370g ",1.85
"Tortilla chips bowls OLD EL PASO, 150g ",0.99
"Mélange d'épices pour Guacamole OLD EL PASO, sachet de 20g ",2.75
"Tortillas de maïs souples OLD EL PASO, 8 sachets de 335g ",3.25
"Kit fajitas aux épices douces sans piment OLD EL PASO, 478g ",5.41
"Kit barquitas sans piment OLD EL PASO, paquet de 329g ",
"Wraps au blé complet OLD EL PASO, paquet de 350g ",2.7
"Kit pour Burritos Original OLD EL PASO, paquet de 510g ",
"Wraps de blé souples OLD EL PASO, 6 unités soit 350g ",5.45
"Chips crunchy tortillas chili OLD EL PASO, sachet de 185g ",2.42
"Tortilla chips paprika OLD EL PASO, sachet de 185g ",
"Chips crunchy tortillas fajita OLD EL PASO, sachet de 185g ",2.12
"Chips crunchy nachips OLD EL PASO, sachet de 185g ",
"Kit pour enchiladas OLD EL PASO, paquet de 657g ",1.58
"Mélange d'épices pour burritos OLD EL PASO, 40g ",2.51
"Sauces Salsa trio dip OLD EL PASO, 575g ",2.99
"Kit fajitas barbecue original OLD EL PASO, paquet de 500g ",
"Tortilla strips crunchy original OLD EL PASO, 185g ",2.75
"Sauce tikka masala hot spicy, PATAK'S, bocal de 350g ",2.75
"Sauce peanuts and coconut, PATAK'S, bocal de 350g ",2.79
"Sauce Tikka Masala mild PATAK'S, bocal de 350g ",1.38
"Sauce Tandoori PATAK'S, 350g ",2.3
"Sauce Korma PATAK'S, bocal de 350g ",4.87
"Wraps de blé souples OLD EL PASO, 6 unités soit 350g ",
"Chips crunchy tortillas chili OLD EL PASO, sachet de 185g ",2.49
"Tortilla chips paprika OLD EL PASO, sachet de 185g ",2.49
"Chips crunchy tortillas fajita OLD EL PASO, sachet de 185g ",2.19
"Chips crunchy nachips OLD EL PASO, sachet de 185g ",2.31
"Kit pour enchiladas OLD EL PASO, paquet de 657g ",4.98
"Mélange d'épices pour burritos OLD EL PASO, 40g ",1.6
